Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
NGC2775;G;09:10:20.12;+07:02:16.6;Cnc;4.25;3.36;159;11.14;10.24;7.92;7.41;7.04;22.88;Sab;;;;1350;0.004513;;;;;;;;2MASX J09102011+0702165,C 048,IRAS 09076+0714,MCG +01-24-005,PGC 025861,SDSS J091020.13+070216.8,UGC 04820;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC2808;GCl;09:12:02.54;-64:51:46.2;Car;9.00;;;7.77;5.69;;;;;;0.0597;1.020;0.280;104;0.000347;;;;;;;;MWSC 1636;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC2867;PN;09:21:24.97;-58:18:42.0;Car;0.23;;;9.70;9.70;;;;;;0.1597;-5.555;2.347;18;0.000060;;16.62;;;;;HD 81119;2MASX J09212497-5818422,C 090,ESO 126-008,IRAS 09200-5805,PN G278.1-05.9;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar B-Mag:8
NGC3115;G;10:05:13.98;-07:43:06.9;Sex;7.10;3.01;43;10.08;9.09;6.79;6.12;5.88;23.02;E-S0;;;;665;0.002222;;;;;;;;2MASX J10051397-0743068,C 053,MCG -01-26-018,PGC 029265,UGCA 199;Spindle Galaxy;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC3132;PN;10:07:01.73;-40:26:11.7;Vel;0.50;;;8.20;9.20;9.75;9.73;9.72;;;1.1567;-7.693;0.411;49;0.000163;10.29;10.15;10.07;;;;HD 87892,HD 87877,TYC 7711-00963-1;C 074,ESO 316-027,IRAS 10049-4011,PN G272.1+12.3;Eight-Burst Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar U-Mag:8|Cstar B-Mag:8|Cstar V-Mag:8
NGC3195;PN;10:09:20.98;-80:51:30.9;Cha;0.70;;;11.50;11.60;;;;;;;;;-7;-0.000024;;16.10;15.30;;;;;C 109,ESO 019-002,IRAS 10099-8036,PN G296.6-20.0;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|RadVel:2|Redshift:2|Cstar B-Mag:8|Cstar V-Mag:8
NGC3201;GCl;10:17:36.76;-46:24:40.4;Vel;9.60;;;9.18;8.24;;;;;;0.1720;8.350;-2.000;494;0.001650;;;;;;;;C 079,MWSC 1788;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC3242;PN;10:24:46.08;-18:38:32.0;Hya;0.42;;;8.60;7.70;12.10;12.46;11.75;;;0.6819;-4.557;0.660;5;0.000016;;12.02;12.31;;;;BD -17 3140,HD 90255,SAO 155965;C 059,ESO 568-005,IRAS 10223-1823,PN G261.0+32.0;Jupiter's Ghost Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar B-Mag:8|Cstar V-Mag:8
NGC3372;HII;10:45:08.53;-59:52:00.1;Car;120.00;120.00;;3.00;;;;;;;0.3800;-6.550;2.170;;;;;;;;;;C 092;Carina Nebula,eta Car Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|B-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2
NGC3626;G;11:20:03.81;+18:21:24.6;Leo;2.94;1.94;157;11.80;10.98;9.10;8.45;8.16;22.86;S0-a;;;;1488;0.004977;;;;;3632;;;2MASX J11200379+1821244,C 040,MCG +03-29-032,PGC 034684,SDSS J112003.81+182124.6,UGC 06343;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC3766;OCl;11:36:14.39;-61:36:18.6;Cen;6.90;;;5.66;5.30;;;;;;0.4590;-6.731;0.961;-16;-0.000052;;;;;;;;C 097,MWSC 1958;Pearl Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC4038;G;12:01:53.01;-18:52:03.4;Crv;5.42;3.78;80;10.85;10.20;;;;22.94;SBm;;;;1672;0.005593;;;;;;;;2MASS J12015301-1852034,C 060,ESO 572-047,ESO-LV 572-0470,ESO-LV 572-0481,MCG -03-31-014,PGC 037967,UGCA 264;Antennae Galaxies;ESO-LV has two entries for this object.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC4039;G;12:01:53.51;-18:53:10.3;Crv;5.36;2.73;50;11.04;;;;;22.82;SBm;;;;1637;0.005474;;;;;;;;2MASS J12015350-1853103,C 061,ESO 572-048,ESO-LV 572-0471,ESO-LV 572-0480,MCG -03-31-015,PGC 037969,UGCA 265;Antennae Galaxies;ESO-LV has two entries for this object.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC4236;G;12:16:42.12;+69:27:45.3;Dra;23.50;6.85;161;10.06;9.77;9.91;9.17;9.01;24.58;SBd;;;;-1;-0.000003;;;;;;;;2MASX J12164211+6927452,C 003,IRAS 12143+6945,MCG +12-12-004,PGC 039346,UGC 07306;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC4244;G;12:17:29.66;+37:48:25.6;CVn;16.22;7.24;45;10.44;10.18;8.56;7.98;7.72;24.57;Sc;;;;244;0.000814;;;;;;;;2MASX J12172965+3748255,C 026,MCG +06-27-045,PGC 039422,UGC 07322;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
