Name,RA,Dec,V-Mag,Spectrum
57    Vir,13.266322,-19.943103,5.21,K1III
HIP 64751,13.270636,19.051734,6.46,G8III
HIP 64774,13.274624,68.408001,6.2,B9.5V
HIP 64779,13.275629,19.785289,6.43,F0V
HIP 64790,13.279163,-65.138259,6.06,F5V
59    Vir,13.279588,9.424156,5.19,G0Vs
HIP 64797,13.280843,17.017182,6.49,K2V
HIP 64803,13.281425,-31.506196,5.1,K0III
HIP 64820,13.286952,-66.783438,4.86,K2Ib/II
HIP 64822,13.2872,-43.979479,5.82,Am
HIP 64823,13.287674,13.675751,5.33,K3III
HIP 64838,13.291626,-0.676065,6.36,F0V
20    CVn,13.292379,40.572608,4.72,F3III
60Sig Vir,13.293412,5.469869,4.78,M2III
21    CVn,13.304034,49.682062,5.14,A0V
61    Vir,13.306763,-18.311196,4.74,G5V
HIP 64927,13.307701,34.098304,5.81,K4.5III
HIP 64933,13.309688,-51.285776,6.18,A0V
HIP 64951,13.313424,-79.976017,6.34,B9.5/A0V
46Gam Hya,13.315359,-23.171512,2.99,G8III
HIP 64979,13.317849,35.127978,6.01,F0IV
HIP 64994,13.321942,-72.035603,6.04,K3III
23    CVn,13.3386,40.150548,5.6,K1III
HIP 65108,13.343068,-59.77278,6.2,F3/F5II
Iot Cen,13.343296,-36.712295,2.75,A2V
HIP 65112,13.343843,-52.747825,5.47,B6V
HIP 65119,13.34488,2.94229,6.26,A3V
HIP 65129,13.346761,-55.800688,6.0,B0.5Ia
HIP 65144,13.349367,-46.880008,5.76,K1III
HIP 65183,13.35827,-19.489294,6.21,A2/A3V
HIP 65198,13.361567,2.087243,5.69,A2V
HIP 65230,13.36776,43.903379,6.34,A7m
64    Vir,13.369358,5.154764,5.89,A2m
HIP 65247,13.371191,-52.182956,5.81,B2.5Ib
HIP 65271,13.377211,-60.988393,4.52,B3V
HIP 65288,13.381252,-47.943221,6.18,A4V
HIP 65289,13.381281,-72.146712,6.06,B6V
63    Vir,13.383643,-17.735274,5.36,K0III
HIP 65303,13.384056,-48.562791,6.37,B6IV
HIP 65311,13.385731,-33.189878,6.17,M2III
65    Vir,13.388582,-4.924427,5.88,K3III
HIP 65372,13.397817,-49.822811,6.48,G8III
HIP 65376,13.398313,37.03392,6.1,M3III
Mizar,13.398747,54.925362,2.23,A2V
HIP 65381,13.39919,-20.924587,6.44,K1/K2III/IV
HIP 65387,13.400128,-64.535668,4.52,G5III-IV
HIP 65417,13.408481,12.431832,6.44,K0III
66    Vir,13.40923,-5.16401,5.76,F3V
HIP 65466,13.418522,23.854419,5.75,A3IV
Iot1Mus,13.418694,-74.887818,5.04,K0III
Spica,13.419883,-11.161322,0.98,B1V
Alcor,13.420413,54.987958,3.99,A5V SB
HIP 65479,13.420568,-64.485144,5.32,F2III
HIP 65522,13.430657,-70.627248,5.65,Ap
HIP 65530,13.433372,63.261275,6.5,G6V
HIP 65535,13.435483,-39.755107,5.11,Kp...
HIP 65536,13.435566,72.391476,5.82,M1III
HIP 65545,13.436504,-1.192471,5.97,A7III
HIP 65550,13.437943,46.028055,5.88,K0III:
68    Vir,13.445325,-12.707664,5.27,K5III
HIP 65593,13.448922,-41.497562,5.69,K3III
HIP 65595,13.449205,78.643869,5.74,G2.5IIIb
HIP 65606,13.451775,-49.143709,6.31,A0III/IV
HIP 65621,13.454073,-40.162665,6.4,G8/K0III
HIP 65630,13.455738,-49.381291,6.27,B3IV
69    Vir,13.457546,-15.973578,4.76,K1IIICN...
HIP 65678,13.466575,52.745588,6.34,F0
HIP 65682,13.467189,-26.402235,6.49,K5III
70    Vir,13.473837,13.778787,4.97,G5V
HIP 65723,13.473955,40.729646,6.49,G8III
HIP 65728,13.474203,59.945787,5.4,A1Vn
HIP 65754,13.479394,50.718569,6.42,F0IV
HIP 65755,13.47967,-69.627152,6.17,B8V
HIP 65783,13.485541,-64.675794,6.09,A2m
71    Vir,13.486945,10.81831,5.65,K0III
HIP 65796,13.487477,-1.364428,6.42,K0III
HIP 65810,13.490348,-51.165134,5.04,A0V
HIP 65835,13.495218,-23.281331,6.4,M6/M7e
HIP 65862,13.500022,7.178853,6.18,K5
72    Vir,13.507146,-6.470265,6.1,F2V
HIP 65936,13.517405,-39.407307,3.9,G8II/III
HIP 65951,13.521052,42.106153,6.07,K2III
HIP 65969,13.525882,-28.11274,6.48,A1V
74    Vir,13.532746,-6.255816,4.68,M3III
73    Vir,13.534114,-18.72888,6.01,A7IV/V
HIP 66019,13.534836,-38.398844,6.14,K1III
HIP 66060,13.542909,-29.565263,6.45,F5IV
HIP 66065,13.543307,-28.692768,5.69,A0/A1V
HIP 66086,13.546725,24.346743,6.11,G8III
75    Vir,13.547679,-15.363012,5.52,K1III
76    Vir,13.549465,-10.165,5.21,K0III
HIP 66152,13.559972,-65.63269,6.36,A0V
81    UMa,13.568698,55.348434,5.6,A0V
78    Vir,13.56887,3.658967,4.92,A1p SrCrEu
HIP 66223,13.57274,38.789265,6.37,F0IV
24    CVn,13.57425,49.015973,4.68,A5V
HIP 66236,13.574714,-48.272162,6.32,B8III
HIP 66247,13.577903,-13.214324,5.92,A0V
Heze,13.57822,-0.59582,3.38,A3V
HIP 66251,13.578555,76.54671,6.46,K5III:
HIP 66254,13.578773,-33.310854,6.46,K2III
HIP 66257,13.579943,37.182415,4.91,F2IV SB
80    Vir,13.592027,-5.396191,5.7,G6III
HIP 66326,13.592618,10.204962,6.48,K1III+...
HIP 66385,13.611082,49.486648,6.48,K1III
HIP 66400,13.61346,-26.495198,5.73,A7V+...
HIP 66405,13.614048,-34.467839,6.48,K0III
HIP 66417,13.616412,24.613297,5.72,M2III
HIP 66427,13.618339,-44.143203,5.96,G8/K0III
HIP 66435,13.619731,71.242252,5.5,K2III
HIP 66438,13.62008,-61.691856,5.63,F6V
HIP 66454,13.623189,-46.427879,5.91,B8V
25    CVn,13.624345,36.294898,4.82,A7III
HIP 66521,13.635452,-58.414646,6.41,K1III
HIP 66522,13.635524,14.301926,6.49,A9Vs
HIP 66563,13.645021,-29.560867,5.81,F3V
HIP 66574,13.646054,-70.444829,6.11,K3III
HIP 66575,13.646933,-57.622717,6.0,G5Ib
HIP 66594,13.650635,18.265323,6.46,K3III
HIP 66607,13.653341,-75.683788,6.32,B8IV
HIP 66613,13.654143,51.804213,6.49,K2
82    UMa,13.658472,52.921208,5.46,A3Vn
HIP 66640,13.659616,10.746269,5.57,F0V
HIP 66645,13.661346,-39.747587,6.29,M3/M4III
HIP 66656,13.663488,-40.051708,5.61,K2/K3III
Eps Cen,13.664796,-53.466394,2.29,B1III
HIP 66666,13.666622,-49.949956,5.74,M8III
HIP 66681,13.669656,-64.576553,5.79,F3III-IV
HIP 66690,13.670996,31.012036,6.21,G5II:
HIP 66700,13.672614,57.207606,6.28,A4p SrCrEu
HIP 66704,13.673132,50.519413,6.31,F7.7V
HIP 66725,13.677523,28.065165,6.22,K3III
1    Boo,13.677909,19.955719,5.73,A1V
83    UMa,13.678967,54.681634,4.63,M2IIIvar
Kap Oct,13.682257,-85.786043,5.56,A2m...
2    Boo,13.683986,22.495768,5.63,G9III
HIP 66798,13.691625,64.822411,5.85,A2V
82    Vir,13.693549,-8.702984,5.03,M2III
HIP 66821,13.695775,-54.559425,4.99,B8Vn+...
HIP 66849,13.700307,-58.787078,5.38,B9IV
HIP 66860,13.703545,8.388394,6.16,F3Vp
HIP 66878,13.706379,82.752408,5.92,G9III
HIP 66892,13.708006,41.674282,6.3,G6III
HIP 66903,13.71093,78.064437,5.91,G7III:
HIP 66907,13.712063,34.989021,5.98,G5III
HIP 66923,13.715177,-50.790236,6.43,M0III
HIP 66924,13.715287,-41.401043,5.96,K0III
HIP 66925,13.715587,-56.767971,6.0,B0.5III
84    Vir,13.717698,3.537903,5.35,K1III
HIP 66984,13.727802,-42.067521,5.96,B8III
HIP 66992,13.729212,22.700423,6.12,K4III
HIP 67005,13.731884,52.064413,6.02,A1V
HIP 67036,13.737781,-51.012454,6.44,A0p
83    Vir,13.741618,-16.179072,5.55,G1IV/V
HIP 67071,13.746019,-25.500933,6.21,K3III
HIP 67103,13.753657,55.879349,6.47,F7IV-V
HIP 67104,13.753732,10.325305,6.42,K2
85    Vir,13.759741,-15.767467,6.18,A0V
HIP 67143,13.760249,-26.116009,5.81,A0V
1    Cen,13.761471,-33.043721,4.23,F3V
86    Vir,13.765644,-12.426528,5.5,G8III
HIP 67194,13.770435,41.088746,5.88,A5V
HIP 67199,13.770701,-54.683368,6.42,A1V
HIP 67210,13.771964,38.503626,5.92,G9III
84    UMa,13.776573,54.432679,5.68,B9p EuCr
HIP 67234,13.777604,-51.432766,4.64,G8/K0III
3    Boo,13.778701,25.702236,5.97,F6IV-V
HIP 67244,13.78232,-36.251933,5.15,A0V
HIP 67246,13.782534,6.350375,6.33,G0V
HIP 67250,13.783277,38.542697,5.51,K0III+...
HIP 67261,13.786352,-62.589714,6.4,A7V
HIP 67271,13.787057,-9.709455,6.04,K5III
4Tau Boo,13.78771,17.456906,4.5,F7V
87    Vir,13.790386,-17.859839,5.41,M2III
HIP 67292,13.791005,-50.249291,5.92,A3m...
Alkaid,13.792354,49.313265,1.85,B3V SB
HIP 67304,13.794052,-50.320682,5.46,K2III
HIP 67384,13.81076,31.190206,5.61,K0III
2    Cen,13.824091,-34.450776,4.19,M5III
5Ups Boo,13.824623,15.797905,4.05,K5IIIvar
Nu  Cen,13.825078,-41.687709,3.41,B2IV
Mu  Cen,13.826943,-42.473732,3.47,B2IV-Ve
6    Boo,13.828564,21.264105,4.92,K4III
HIP 67483,13.829149,36.632823,6.43,A7IV-V
HIP 67485,13.829296,61.489313,5.97,G3V
89    Vir,13.831191,-18.134168,4.96,K0III
HIP 67523,13.835142,-29.081321,6.19,A0V
HIP 67537,13.838721,-39.900855,6.43,K1III
HIP 67545,13.840189,5.497224,6.0,K0
HIP 67548,13.841043,58.539458,6.45,A3V
HIP 67589,13.849804,68.3153,6.39,K2IV
HIP 67605,13.85256,34.664399,5.89,M2III
HIP 67620,13.855656,-24.390368,6.43,G5V
10    Dra,13.857205,64.723272,4.58,M3III
HIP 67648,13.860142,-36.433279,6.34,F6V
HIP 67663,13.863117,-46.898666,5.77,B2Vp
HIP 67664,13.863174,-69.401258,5.73,K5/M0III
HIP 67665,13.863188,34.44424,4.76,K5III
3    Cen,13.863779,-32.994089,4.32,B5
HIP 67696,13.866939,-31.619207,6.11,F5/F6V
HIP 67703,13.868021,-52.81153,5.26,B9Vn
HIP 67714,13.871779,12.165135,6.1,A1V
HIP 67778,13.885677,40.337977,6.48,K5
HIP 67782,13.886192,28.648131,5.91,A7V
4    Cen,13.886817,-31.927612,4.75,B4IV
7    Boo,13.886925,17.932868,5.71,G5III
HIP 67819,13.892437,-35.664248,5.53,F3V
HIP 67836,13.895306,-53.373323,5.87,B5III
86    UMa,13.897507,53.728677,5.7,A0V
HIP 67851,13.897806,-35.314361,6.17,K0III
HIP 67861,13.899234,-47.128164,5.83,B2IIIe
HIP 67890,13.904626,-28.56959,6.05,K2III
Muphrid,13.911411,18.397717,2.68,G0IV
90    Vir,13.911707,-1.503125,5.16,K2III
HIP 67942,13.913646,-67.6521,5.74,K2III
HIP 67953,13.916167,-8.058852,6.19,F8V+...
HIP 67973,13.920042,-52.160822,5.66,B8V
Zet Cen,13.925667,-47.288375,2.55,B2.5IV
HIP 68009,13.927493,-82.66619,5.95,K2/K3III:p
HIP 68030,13.930555,14.056503,6.16,F6V
HIP 68065,13.936242,32.032598,6.31,F4IV-V
HIP 68079,13.938837,-46.592948,5.82,K0IV
HIP 68080,13.938882,-54.13242,6.14,A1V
92    Vir,13.941077,1.050581,5.9,A8V
HIP 68101,13.942489,-54.704665,6.0,G8V
9    Boo,13.942827,27.492082,5.02,K3IIIvar
HIP 68177,13.957702,-23.02263,6.14,K2/K3III
HIP 68184,13.958911,61.492861,6.49,K3V
HIP 68191,13.960809,-63.686696,4.71,K4III
HIP 68224,13.966354,-25.998079,6.42,K1III
Phi Cen,13.971186,-42.100753,3.83,B2IV
47    Hya,13.975319,-24.972249,5.2,B8V
HIP 68270,13.975352,-65.800665,6.2,K0III
10    Boo,13.977479,21.696219,5.76,A0Vs
HIP 68279,13.977752,14.649275,6.01,K5III
Ups1Cen,13.977987,-44.803584,3.87,B2IV-V
HIP 68333,13.988187,-50.369647,5.92,G8/K0III
HIP 68380,13.997022,-3.549788,6.36,F8V
48    Hya,14.000037,-25.010403,5.77,F6V
HIP 68413,14.004842,-61.481028,6.49,F1III-IV
HIP 68431,14.009124,-78.589981,6.09,B9III
HIP 68455,14.014596,-66.26891,5.96,F0V
11    Boo,14.01958,27.386594,6.23,A7III
HIP 68493,14.021962,-40.221943,6.12,K1III
HIP 68498,14.022341,8.894906,5.98,A2V
HIP 68516,14.026892,17.668391,6.36,G5
93Tau Vir,14.027443,1.544532,4.23,A3V
Ups2Cen,14.028748,-45.603421,4.34,F6II
HIP 68537,14.030746,68.678675,6.34,K5
HIP 68567,14.036717,45.753457,6.28,K2III
HIP 68581,14.039662,-27.429773,5.47,K2/K3III
HIP 68594,14.04218,9.686096,6.18,F8IV
HIP 68637,14.049935,50.971809,6.16,A2V
HIP 68641,14.050478,-31.684035,6.18,F6V
HIP 68643,14.051132,-17.367012,6.32,K2/K3III
HIP 68670,14.057371,-56.213434,5.93,K2III
HIP 68673,14.057632,-41.423345,6.08,B8 Si
HIP 68682,14.058986,10.786779,6.27,G8V
HIP 68687,14.060213,7.54617,6.25,G9III
Hadar,14.063729,-60.373039,0.61,B1III
HIP 68705,14.064747,-22.421602,6.3,F3IV
HIP 68707,14.065488,4.900973,6.24,F4V
HIP 68739,14.070711,-5.381416,6.39,K0
Thuban,14.073165,64.37585,3.67,A0III SB
HIP 68763,14.074161,-14.971708,6.35,K1III+...
HIP 68776,14.077063,2.297531,6.28,K0
The Aps,14.088903,-76.796752,5.69,M6.5III
HIP 68842,14.09625,-54.669362,6.2,A5III/IV
Chi Cen,14.10077,-41.179633,4.36,B2V
HIP 68872,14.10303,-43.091702,6.18,G8III
49Pi  Hya,14.106193,-26.682361,3.25,K2III
HIP 68902,14.106989,-59.715905,6.39,B0Ia
Menkent,14.111395,-36.369954,2.06,K0IIIb
95    Vir,14.111896,-9.313515,5.46,F2IV
3    UMi,14.115681,74.593781,6.43,A7V
HIP 69011,14.128005,-48.704026,6.43,B9V
HIP 69012,14.128205,-49.867607,6.45,G3V
HIP 69038,14.132154,43.854452,5.13,M4.2III
HIP 69065,14.137301,-63.20795,6.39,G8/K0III
13    Boo,14.138145,49.458167,5.26,M2III
HIP 69090,14.14099,-74.850285,6.02,G1V
HIP 69107,14.146143,59.337649,6.47,K0III
4    UMi,14.147498,77.547514,4.8,K3III
HIP 69113,14.147748,-43.470779,6.19,B9V
HIP 69122,14.148961,-59.276712,6.34,B5IV
96    Vir,14.150165,-10.334546,6.45,G8III
HIP 69174,14.159734,-51.504672,5.96,B9IV
HIP 69191,14.165242,-53.438946,4.74,G8III
12    Boo,14.173315,25.091677,4.82,F9IVw
HIP 69241,14.175252,-70.305464,6.07,K4II
HIP 69269,14.18069,-16.30203,4.93,M1III
HIP 69298,14.183865,-69.719318,6.07,A6IV
HIP 69316,14.187534,32.295892,6.14,K4III
HIP 69340,14.192001,1.362399,6.42,F7V
HIP 69373,14.201122,69.432548,5.18,M2III
HIP 69389,14.20439,2.409433,4.99,B9p Si
HIP 69398,14.206824,-24.363352,6.35,K2III
50    Hya,14.212785,-27.261186,5.07,K2III
Kang,14.214929,-10.273702,4.18,K3III
HIP 69458,14.220349,-26.612309,6.23,K0III
HIP 69462,14.221226,-53.665674,5.53,K5III+...
17Kap2Boo,14.224718,51.789965,4.53,A8IV
HIP 69491,14.227731,-54.625627,6.09,B5V
HIP 69493,14.227997,-0.845463,5.89,F7Vw
14    Boo,14.234773,12.959444,5.53,F6IV
HIP 69564,14.239253,-5.947717,6.36,F9V
HIP 69569,14.239876,41.518757,6.23,K3III:
HIP 69585,14.243224,13.975451,6.45,K2
HIP 69592,14.244711,21.873392,6.38,A7V
HIP 69598,14.245191,-41.837495,5.61,G8III
15    Boo,14.247458,10.10061,5.29,K1III
HIP 69614,14.248061,3.335878,6.41,M4III
HIP 69618,14.249208,-57.086126,5.03,B4Vne
HIP 69623,14.250349,-29.281904,6.1,A1V
HIP 69655,14.255921,-53.509941,6.4,K3III
HIP 69658,14.256691,-18.20069,5.53,A0V
HIP 69671,14.260737,-45.000756,6.31,F9V
Arcturus,14.26103,19.18241,-0.05,K2IIIp
Syrma,14.266908,-6.000547,4.07,F7V
HIP 69704,14.267333,45.566268,6.5,K0
21Iot Boo,14.269439,51.367231,4.75,A9V
HIP 69727,14.272606,-6.621544,6.44,A9III
Xuange,14.273074,46.088305,4.18,A0sh
HIP 69735,14.273416,39.744711,6.38,F2IV
HIP 69747,14.275046,-3.196305,6.15,A1V
HIP 69751,14.275791,20.121848,6.25,F8V
HIP 69763,14.277423,-66.587894,5.72,B1.5III
HIP 69773,14.280204,-8.884473,6.47,K0
HIP 69778,14.281989,-77.664221,6.48,K2IIp
HIP 69792,14.284386,-18.5857,6.22,K0III
HIP 69818,14.289208,51.307373,6.19,A2IV
HIP 69829,14.291237,15.26338,5.84,M3III
HIP 69862,14.297001,48.002004,6.32,F5
HIP 69879,14.29995,35.509505,4.8,K1III
HIP 69881,14.300201,-7.542388,6.47,F9V
Eta Aps,14.303877,-81.00776,4.89,A2m...
HIP 69929,14.310627,-18.715968,5.86,Ap Si(Cr)
HIP 69958,14.315532,54.863753,6.47,A5Vn
HIP 69965,14.316922,-25.815426,5.87,F7Vw
Khambalia,14.318498,-13.371095,4.52,A1V
HIP 69977,14.318655,-27.141147,6.35,K5III
18    Boo,14.321188,13.004299,5.41,F5IV
HIP 69995,14.323302,-37.002907,5.93,A1V
Iot Lup,14.323396,-46.058093,3.55,B2.5IV
102Ups Vir,14.325689,-2.265518,5.14,G9III
HIP 70022,14.328042,0.384333,6.18,A7V
20    Boo,14.329233,16.306948,4.84,K3III
HIP 70029,14.329926,38.794052,6.33,A2V
HIP 70035,14.331002,-61.272972,5.22,Am
HIP 70038,14.331445,-6.746167,6.42,G5
HIP 70051,14.335741,30.429128,6.45,A5III
HIP 70054,14.336029,-43.058843,5.55,G8III
HIP 70069,14.338763,-56.386497,4.3,B6Ib
Psi Cen,14.342623,-37.885295,4.05,A0IV
HIP 70104,14.345159,-45.18706,4.78,F0IV
HIP 70236,14.370557,29.36992,6.5,MIII
HIP 70243,14.372145,-34.786792,5.57,B8V
Eps Aps,14.373108,-80.108945,5.06,B4V
HIP 70264,14.376971,-58.459117,4.76,G8/K1 + F/G
HIP 70270,14.377421,-48.319857,6.1,B1III
HIP 70300,14.383956,-39.511819,4.41,B2V
51    Hya,14.384942,-27.754017,4.78,K3III
HIP 70310,14.385231,25.338173,6.22,F5V
HIP 70319,14.387579,1.241569,6.25,G1V
HIP 70320,14.387599,-47.41696,6.41,G5Ib
HIP 70325,14.38896,-50.772252,6.03,K2III
HIP 70327,14.389638,8.446617,4.86,A0V
2    Lib,14.390452,-11.714043,6.22,G7III
HIP 70363,14.396834,-53.176233,5.99,K1III
HIP 70384,14.400243,8.243969,5.94,A3V
HIP 70385,14.40055,27.413177,6.39,K4III
HIP 70400,14.403151,5.820131,5.1,A5V
HIP 70414,14.405075,8.084595,6.19,K4III
HIP 70418,14.406157,-82.84825,6.42,B8V
HIP 70451,14.411339,-44.311134,6.43,K0/K1III
HIP 70452,14.411348,-11.669703,6.49,F4III
HIP 70469,14.413508,-24.80631,5.34,K0III
HIP 70492,14.418426,-68.195333,5.56,A3Ib
23The Boo,14.419967,51.850744,4.04,F7V
HIP 70501,14.421554,-13.353163,6.49,K2III
HIP 70517,14.424764,38.393053,6.28,K2III:
HIP 70528,14.427716,-66.172922,6.36,A1V
HIP 70538,14.429936,-26.852241,6.48,K0III
Tau1Lup,14.435619,-45.221424,4.56,B2IV
Tau2Lup,14.436336,-45.379276,4.33,A7:+...
HIP 70580,14.437074,-42.318597,6.33,K3III
22    Boo,14.440935,19.2269,5.4,F0m
HIP 70626,14.447188,-39.873989,6.36,B9V
Del Oct,14.448801,-83.667884,4.31,K2III
HIP 70657,14.451973,-65.821646,5.87,K3III
HIP 70663,14.453392,-46.134254,5.83,Am
104    Vir,14.456774,-6.120332,6.18,A2IV
5    UMi,14.458758,75.695993,4.25,K4III
52    Hya,14.469564,-29.491638,4.97,B7/B8V
Elgafar,14.470038,-2.227957,4.81,G2III
HIP 70762,14.471234,36.197028,6.22,K0III
24    Boo,14.477197,49.844851,5.58,G3IV
106    Vir,14.478256,-6.900536,5.42,K5III
HIP 70798,14.47875,-59.197548,6.46,A0II/III
HIP 70809,14.481087,-47.992086,6.4,Ap...
HIP 70873,14.493549,41.795911,6.36,G5V
HIP 70874,14.493627,-76.729083,6.06,K0/K1III
HIP 70892,14.497131,31.791188,6.06,A0Vs
HIP 70894,14.497366,0.828929,5.96,A5IV
HIP 70915,14.502399,-45.321355,5.51,B8Vn
HIP 70931,14.505823,-49.519018,5.38,A1V
HIP 70949,14.512608,4.772286,6.01,K4III
HIP 70952,14.512832,63.185788,6.1,F4IV
HIP 70966,14.515728,-40.845122,6.39,K3III
HIP 70987,14.519678,-38.869708,5.99,K1III
HIP 71002,14.521224,-67.717197,5.84,K1III
HIP 71040,14.528567,60.225636,6.26,F0III
25Rho Boo,14.5305,30.371437,3.57,K3III
Seginus,14.534636,38.308253,3.04,A7IIIvar
HIP 71094,14.538953,26.677284,6.0,A7Vn
HIP 71111,14.541926,55.39801,5.74,K5III
26    Boo,14.542374,22.260059,5.91,F2IV
Sig Lup,14.543629,-50.457157,4.44,B2III
HIP 71154,14.55268,-30.715068,6.07,K0III
HIP 71168,14.55563,36.959023,6.39,F8IVw
HIP 71182,14.558325,-52.679522,5.86,K0III
HIP 71184,14.559004,-54.998628,5.86,F6IV-V
HIP 71196,14.560711,79.660427,6.27,K3III
HIP 71243,14.569915,32.534477,6.32,F5V
HIP 71251,14.571063,57.065258,6.46,F7V
HIP 71277,14.577362,36.626064,6.02,K5III
HIP 71280,14.577676,49.368354,5.74,M1III
28Sig Boo,14.578,29.74513,4.47,F3Vwvar
HIP 71295,14.580758,-20.439381,6.49,A3V
HIP 71333,14.588072,-60.015644,6.39,K2III
Eta Cen,14.591786,-42.157824,2.33,B1Vn + A
HIP 71353,14.592079,-41.517436,5.88,B6V
HIP 71406,14.601909,23.250359,6.39,K0
HIP 71419,14.605288,-46.245451,5.55,K3III
HIP 71429,14.606698,-39.597407,6.13,K1III
HIP 71453,14.61226,-40.21158,5.74,B8V
HIP 71469,14.616608,-12.305349,6.2,F5V
HIP 71494,14.620117,-53.060788,6.49,K2/K3III
HIP 71500,14.622266,-46.133439,5.39,K0III
HIP 71510,14.624574,2.277238,6.45,F8
HIP 71530,14.629609,-67.932012,6.03,F7V
Rho Lup,14.631454,-49.425828,4.05,B5V
HIP 71568,14.636837,43.64213,5.74,K2III
HIP 71571,14.637219,18.298379,5.9,K2III:
HIP 71573,14.63756,54.023339,5.83,A1V
HIP 71581,14.638711,-38.794184,6.04,K3III
33    Boo,14.647289,44.4045,5.39,A1V
HIP 71639,14.653027,-46.58448,6.06,F7V
HIP 71658,14.656814,-49.055319,6.37,F3IV
Toliman,14.660346,-60.8383,1.35,K1V
Rigil Kentaurus,14.660765,-60.833976,-0.01,G2V
HIP 71729,14.672743,21.975868,6.13,G0V
HIP 71746,14.675768,-56.440761,6.3,K0/K1II
HIP 71759,14.678442,13.534325,5.93,F0V
29Pi 1Boo,14.678768,16.418324,4.49,B9p MnHg
HIP 71783,14.683721,-36.134858,5.67,Ap Si
30Zet Boo,14.68582,13.7283,3.78,A3IVn
31    Boo,14.694097,8.161764,4.86,G8IIIvar
32    Boo,14.695423,11.660662,5.55,G8III
HIP 71853,14.697566,-30.933156,6.38,Asp...
HIP 71857,14.698398,21.123551,6.4,G8III
Alp Lup,14.698823,-47.3882,2.3,B1.5III
HIP 71861,14.698877,-58.615829,6.21,F4V
HIP 71865,14.699332,-37.793498,4.01,B2.5V
HIP 71870,14.69993,-77.011452,6.34,B9III
HIP 71876,14.700889,61.261916,6.24,F2V
Alp Cir,14.708492,-64.975138,3.18,F1Vp
107Mu  Vir,14.717673,-5.658207,3.87,F2III
4    Lib,14.720431,-24.997753,5.7,B9.5V
34    Boo,14.723712,26.52785,4.8,M3III
HIP 72000,14.724484,-62.966671,6.39,B3V:
HIP 72010,14.727624,-35.173655,4.06,K3III
HIP 72012,14.72901,40.459254,5.72,K4III
HIP 72097,14.748755,-58.477492,6.1,K0III
HIP 72104,14.749778,-35.191826,4.92,A0V
Izar,14.749784,27.074222,2.35,A0
HIP 72121,14.753045,-55.60164,6.1,B2III
HIP 72122,14.753252,-1.417529,6.06,M1III
HIP 72124,14.753808,32.788346,6.27,M1III
35Omi Boo,14.754017,16.96428,4.6,K0III
HIP 72131,14.754802,-62.875648,5.36,A7Vn
HIP 72135,14.755232,-51.314927,6.44,K4III
HIP 72139,14.755717,18.884956,6.15,K0
108    Vir,14.75839,0.717271,5.68,B9.5V
5    Lib,14.766044,-15.459541,6.33,K2III
54    Hya,14.766691,-25.443181,5.15,F0V + G/K
HIP 72208,14.768319,15.131788,5.78,M5III
HIP 72210,14.768547,-23.153018,5.8,K0III
HIP 72217,14.76969,-21.175966,6.43,G2V
109    Vir,14.770812,1.892885,3.73,A0V
HIP 72250,14.774724,-47.441116,5.74,A1V
HIP 72290,14.783694,-52.383518,5.22,G6III
HIP 72296,14.784747,-38.290639,5.9,K3III
HIP 72308,14.78683,-52.205256,6.07,A1III/IV
HIP 72310,14.787125,-21.324871,6.05,K4/K5III
55    Hya,14.789599,-25.624267,5.61,B9IV/V
HIP 72338,14.79225,-43.556806,6.3,K1III
56    Hya,14.795779,-26.0875,5.23,G8/K0III
Alp Aps,14.797701,-79.044751,3.83,K5III
HIP 72373,14.798597,-12.840007,6.34,K0III
57    Hya,14.799322,-26.646155,5.76,B9.5V
HIP 72412,14.806486,24.366876,6.15,F2V
HIP 72432,14.810569,-36.634697,5.89,M5III
HIP 72438,14.812377,-66.593563,5.91,B2.5V
HIP 72449,14.815026,-0.847655,6.15,B9Vsvar...
HIP 72469,14.818551,37.811179,6.15,F2V
HIP 72471,14.818641,-56.667829,6.21,K3III
Merga,14.821853,46.116205,5.76,F7IVw
HIP 72488,14.821874,-24.25147,5.68,K3III+...
7Mu  Lib,14.821959,-14.149022,5.32,Ap
HIP 72508,14.82566,51.374503,6.49,F5IV
HIP 72518,14.82696,-68.93619,6.5,B3III
39    Boo,14.828143,48.720804,5.68,F6V+...
HIP 72552,14.832888,28.615832,5.8,A4V
HIP 72567,14.837723,23.911844,5.86,G2V
58    Hya,14.838147,-27.960371,4.42,K3III
HIP 72573,14.838814,82.511944,5.63,F9V
HIP 72582,14.841577,37.272047,5.47,K0III-IV
8Alp1Lib,14.844773,-15.997237,5.15,F3V
Kochab,14.845105,74.155505,2.07,K4IIIvar
Zubenelgenubi,14.847977,-16.041778,2.75,A3IV
HIP 72629,14.850026,-0.257491,6.18,K3III
11    Lib,14.850298,-2.29915,4.93,G8...
37Xi  Boo,14.856493,19.10046,4.54,G8V + K4V
HIP 72664,14.857362,59.293985,5.48,K4III
HIP 72670,14.858351,-77.17597,6.44,Ap...
Omi Lup,14.860641,-43.575359,4.32,B5IV
HIP 72702,14.864252,-18.355325,6.27,K0II/III
HIP 72772,14.87587,-30.577253,6.3,G0/G1V
HIP 72773,14.876462,-63.809827,5.91,F8II + A/F
HIP 72800,14.880855,-37.80316,5.02,B7II/III
HIP 72833,14.887097,-73.190071,5.59,G5III
HIP 72846,14.889819,15.705167,6.41,F6III
