Name,RA,Dec,V-Mag,Spectrum
HIP 2832,0.598557,13.207067,6.32,F7V
HIP 2846,0.600877,-14.973035,6.45,K0III
HIP 2852,0.601906,-22.842333,6.06,A5m...
HIP 2854,0.602306,54.16845,5.08,B7III
HIP 2876,0.607595,60.326215,5.78,A4III
HIP 2889,0.610449,-65.124445,6.43,K2/K3III
HIP 2900,0.612903,44.488587,5.14,K5III
53    Psc,0.613142,15.231725,5.89,B2.5IV
29Pi  And,0.61468,33.719344,4.34,B5V
Fulu,0.616188,53.896909,3.69,B2IV
HIP 2926,0.618664,24.014136,6.18,K2III
HIP 2937,0.621727,-54.393819,6.4,K0II/IIICN
HIP 2941,0.622393,-24.767267,5.57,K1V+...
HIP 2942,0.622561,35.399501,5.45,G5III
HIP 2954,0.625136,3.135351,6.43,K4III
30Eps And,0.642602,29.311751,4.34,G5III...
HIP 3056,0.646883,-25.107819,6.43,K4III
HIP 3083,0.652748,49.354589,5.45,K5III
31Del And,0.655462,30.861024,3.27,K3III...
54    Psc,0.656063,21.250472,5.88,K0V
HIP 3132,0.663247,82.493762,6.38,F6V:
HIP 3137,0.664428,-44.796293,6.0,K1IIICN...
55    Psc,0.665436,21.438495,5.36,F3V...
HIP 3170,0.673659,-59.454604,5.89,G1V
HIP 3175,0.674606,-16.516676,6.49,G8III
Schedar,0.675116,56.537331,2.24,K0II-IIIvar
HIP 3185,0.675771,-23.804876,6.14,G3/G5V
HIP 3193,0.678437,-4.351841,5.9,K0III
32    And,0.68533,39.458664,5.3,G8III
Mu  Phe,0.688766,-46.085007,4.59,G8III
HIP 3269,0.693343,24.629008,6.06,A7m
Xi  Phe,0.69621,-56.501315,5.72,Ap
HIP 3299,0.700953,66.147592,5.83,G9III-IV
19Xi  Cas,0.701081,50.512526,4.8,B2.5V
Rho Tuc,0.707869,-65.46803,5.38,F6V
HIP 3334,0.708618,58.753411,6.18,B9.5III
HIP 3352,0.711609,-60.262807,5.99,K5III
Lam1Scl,0.711914,-38.463483,6.05,B9.5V
Eta Phe,0.722567,-57.46306,4.36,A0IV
20Pi  Cas,0.724466,47.024546,4.95,A5V
Diphda,0.72649,-17.986605,2.04,K0III
HIP 3436,0.73058,-12.011813,6.01,K1III
17Phi1Cet,0.7365,-10.60955,4.77,K0IIIvar
Lam2Scl,0.736683,-38.421686,5.9,K1III
HIP 3478,0.740612,47.863984,5.66,B5V...
HIP 3489,0.742107,-62.497591,6.06,F5III/IV
22Omi Cas,0.74542,48.284364,4.48,B5III
HIP 3505,0.745666,-22.006135,5.22,F0V
HIP 3521,0.749187,-42.676558,5.94,A7V
HIP 3527,0.749959,-53.714895,6.15,F7III
HIP 3544,0.754774,55.221396,5.41,A2Vs
HIP 3552,0.756702,-4.62916,6.15,M0III
18    Cet,0.757969,-12.88081,6.15,G2V
21    Cas,0.760862,74.988073,5.64,A2IV
HIP 3576,0.761585,-16.42422,6.47,F0IV
