Name,RA,Dec,V-Mag
HIP 321,0.068863,-25.892663,8.93
HIP 322,0.069009,56.920983,7.65
HIP 324,0.069494,17.436643,8.53
HIP 323,0.069514,49.870181,7.38
HIP 325,0.069593,39.119902,8.56
HIP 326,0.069655,11.264375,8.76
HIP 327,0.069748,-4.926111,9.56
HIP 328,0.069972,-30.134913,7.09
HIP 329,0.070115,-10.141117,9.83
9    Cas,0.070462,62.287664,5.9
HIP 331,0.070635,-26.952385,10.8
HIP 332,0.070733,-34.414716,8.41
HIP 333,0.070868,-17.42489,9.05
HIP 334,0.070923,60.155015,8.79
HIP 335,0.071071,14.081538,8.88
HIP 336,0.071106,65.152987,7.59
HIP 337,0.071128,-25.915452,9.6
HIP 338,0.071156,66.349126,10.66
HIP 339,0.071251,-59.315191,8.55
HIP 340,0.07159,-43.988457,8.11
HIP 341,0.071833,-23.253965,9.44
HIP 342,0.071937,-20.568871,9.6
HIP 343,0.072165,-16.529036,5.78
HIP 344,0.072243,40.109948,10.66
HIP 345,0.07231,-29.268822,6.38
HIP 346,0.07253,-53.909434,8.8
HIP 347,0.072581,54.274591,7.79
HIP 348,0.072638,12.957292,8.6
HIP 349,0.07303,-29.381573,7.77
HIP 350,0.073281,-57.322694,10.37
HIP 351,0.073556,-47.068048,9.8
HIP 352,0.074078,58.068692,10.42
HIP 353,0.074107,-44.56729,11.63
HIP 354,0.07489,51.829292,9.22
3    Cet,0.075033,-10.509523,4.99
HIP 356,0.07504,-6.965379,8.43
HIP 357,0.075148,-72.897321,7.33
HIP 358,0.07596,-76.346492,8.93
HIP 359,0.076313,-76.873574,9.09
HIP 360,0.076367,71.968543,9.26
HIP 361,0.076522,-71.695006,8.73
HIP 362,0.076708,-19.437893,9.18
HIP 363,0.07678,43.551312,8.12
HIP 364,0.076802,-15.889228,9.26
HIP 366,0.076833,-31.16905,8.94
HIP 365,0.07683,42.09253,6.11
HIP 367,0.077041,-81.345318,9.13
HIP 368,0.077075,2.937228,7.9
HIP 369,0.077259,29.72228,9.34
HIP 370,0.077295,-51.583329,7.13
HIP 371,0.077358,-50.035925,10.82
HIP 372,0.07772,-70.40426,7.46
HIP 373,0.077732,-8.184953,8.72
HIP 374,0.0778,34.265124,7.02
HIP 375,0.07784,34.27136,9.08
HIP 376,0.078093,6.522449,8.37
HIP 377,0.078131,-71.436891,5.59
HIP 378,0.078129,14.965233,7.37
HIP 379,0.078304,67.166445,5.68
HIP 380,0.078543,17.069735,8.56
HIP 381,0.079014,51.533838,8.72
HIP 382,0.079208,-32.361045,9.06
HIP 383,0.079259,0.056502,8.82
HIP 384,0.079521,1.536895,8.18
HIP 385,0.079681,38.173668,9.39
HIP 386,0.080263,68.188694,9.1
HIP 387,0.080542,38.786214,8.46
HIP 388,0.080682,6.416652,9.15
HIP 389,0.080784,-29.633039,8.28
HIP 390,0.080783,50.234871,11.67
HIP 391,0.080783,43.970719,8.18
HIP 392,0.081113,30.08585,7.93
HIP 393,0.081222,51.982586,9.21
HIP 394,0.081573,34.659797,6.09
HIP 395,0.08148,-30.256604,8.31
HIP 396,0.081641,-31.996653,7.83
HIP 397,0.081689,52.248933,8.72
HIP 398,0.081937,58.532166,6.61
HIP 399,0.08222,26.648764,6.25
HIP 400,0.082306,23.269629,7.82
HIP 401,0.082281,56.05695,8.66
HIP 402,0.082328,64.78142,8.15
HIP 403,0.082478,-18.178726,8.97
HIP 405,0.082634,51.180643,8.15
HIP 404,0.082644,45.673793,7.47
HIP 406,0.082932,26.725262,8.63
HIP 407,0.08296,-70.212445,8.13
HIP 408,0.083006,57.468738,8.23
HIP 409,0.083072,-70.492483,8.41
HIP 410,0.083662,27.674784,6.47
HIP 411,0.083776,33.36001,9.83
HIP 412,0.083844,66.51679,8.64
HIP 413,0.084057,-36.015121,7.73
HIP 414,0.08415,-59.828121,8.64
HIP 415,0.084255,9.279961,8.94
HIP 416,0.084311,1.03771,8.84
HIP 417,0.084395,-0.503035,6.32
HIP 418,0.085039,61.31397,5.8
HIP 419,0.085236,-42.567868,8.97
HIP 420,0.085427,-52.151741,7.53
HIP 422,0.085785,67.840003,7.41
HIP 423,0.085899,30.329032,7.8
HIP 425,0.086042,-62.84522,8.14
HIP 424,0.086046,45.229029,6.71
HIP 427,0.086103,-43.850831,8.73
HIP 426,0.086109,30.331217,9.37
HIP 429,0.086162,2.397208,8.69
HIP 428,0.086297,45.786567,9.95
HIP 430,0.086186,-32.468672,7.1
HIP 431,0.086804,36.303671,8.09
HIP 432,0.086946,35.571012,6.88
HIP 433,0.087459,3.007405,9.48
HIP 434,0.087587,-27.271708,9.04
HIP 435,0.087579,-49.142141,9.3
HIP 436,0.088278,-67.83259,8.49
HIP 437,0.0883,48.477171,8.3
HIP 438,0.088467,-1.794085,7.95
HIP 440,0.088857,68.884433,7.08
HIP 441,0.088876,-38.857152,6.93
HIP 442,0.088894,-21.315338,8.38
33    Psc,0.088928,-5.707618,4.61
HIP 439,0.089883,-37.357364,8.56
HIP 444,0.089114,-59.814504,8.78
HIP 445,0.089347,-56.955649,7.42
HIP 447,0.089502,8.787809,8.26
HIP 446,0.08949,-79.253751,7.71
HIP 448,0.089511,3.606092,6.91
HIP 449,0.089654,-33.499363,9.16
HIP 450,0.089996,28.543724,8.99
HIP 451,0.090083,16.329006,8.63
HIP 452,0.090383,21.5694,9.9
HIP 453,0.090407,-3.851673,7.59
HIP 454,0.090672,-14.422192,7.39
HIP 455,0.090981,76.291567,11.99
HIP 456,0.091036,-37.302536,7.78
HIP 457,0.091117,-42.887387,7.47
HIP 458,0.091178,-7.66542,6.97
HIP 459,0.091222,-61.225853,8.82
HIP 460,0.091345,22.224492,9.13
HIP 461,0.091402,34.10572,7.86
HIP 462,0.09199,-9.61747,7.13
HIP 463,0.092217,-35.129738,9.45
HIP 464,0.092255,-31.967837,12.04
HIP 465,0.09273,76.285818,8.78
HIP 466,0.093034,53.171694,7.23
HIP 467,0.093108,-47.569351,9.73
HIP 468,0.093265,-61.309873,7.36
HIP 469,0.093404,-51.260491,7.36
HIP 470,0.0936,43.401421,8.47
HIP 471,0.094127,-58.28954,9.37
HIP 472,0.094368,55.709898,6.99
HIP 473,0.094664,45.812081,8.2
HIP 474,0.09468,44.468676,8.36
HIP 475,0.0949,58.313259,8.22
86    Peg,0.094989,13.396266,5.55
HIP 477,0.095266,-29.960635,9.91
HIP 478,0.095291,-22.509776,9.67
HIP 480,0.095343,-15.365483,8.6
HIP 479,0.095346,25.61517,10.07
HIP 481,0.095571,-36.778639,10.15
HIP 482,0.095679,17.84029,7.75
HIP 483,0.095939,81.071471,9.21
HIP 484,0.096109,-19.670247,9.66
HIP 485,0.09652,47.087292,8.47
HIP 486,0.097139,-52.820063,9.37
HIP 487,0.097511,78.738515,9.44
HIP 488,0.097494,-68.551373,9.99
HIP 489,0.097727,2.764325,10.38
HIP 490,0.097924,-41.753068,7.51
HIP 491,0.097998,12.527356,8.91
HIP 493,0.098543,18.235003,7.45
HIP 492,0.098568,-14.43278,9.57
HIP 494,0.098642,-68.811599,8.99
HIP 495,0.098743,18.075868,8.58
HIP 496,0.099091,24.569005,6.9
HIP 497,0.099178,49.622343,7.55
HIP 498,0.09952,44.739381,7.93
HIP 499,0.099707,-54.640628,9.71
HIP 500,0.100011,-48.678759,9.57
HIP 501,0.100038,-39.137585,8.55
HIP 502,0.100149,28.276949,6.62
HIP 503,0.100294,16.452078,7.89
HIP 504,0.100905,24.9166,7.51
HIP 505,0.100942,63.679656,7.36
HIP 506,0.100976,53.276915,8.66
HIP 507,0.101162,-84.098203,8.51
HIP 508,0.101182,40.41853,6.65
HIP 509,0.101436,-31.444326,9.67
HIP 510,0.102232,9.714938,7.8
HIP 511,0.102236,0.121419,8.21
HIP 512,0.102521,-29.151382,7.9
HIP 513,0.103163,87.889424,8.94
HIP 514,0.10326,-23.53858,9.82
HIP 515,0.103654,-1.887164,8.69
HIP 516,0.103943,-32.81635,8.57
HIP 517,0.104262,-55.498696,8.89
HIP 518,0.104356,58.436733,5.98
HIP 519,0.104673,-64.240473,7.92
HIP 520,0.104706,-10.778477,7.6
HIP 521,0.105181,-1.238097,8.22
HIP 522,0.105277,-49.075191,5.7
HIP 523,0.105282,-65.840538,12.17
HIP 524,0.105545,-12.017184,8.75
HIP 525,0.105609,40.898745,6.93
HIP 526,0.105613,60.457121,7.97
HIP 527,0.105773,68.636103,8.06
HIP 528,0.106058,-24.602622,10.13
HIP 529,0.106936,-18.038252,7.31
HIP 530,0.107225,42.75276,8.35
10    Cas,0.10737,64.196168,5.57
HIP 532,0.107466,-74.401099,9.85
HIP 533,0.107524,-16.737625,9.16
HIP 534,0.107644,-52.933129,9.03
HIP 535,0.107897,-43.627763,10.07
HIP 536,0.108131,27.090106,9.76
HIP 537,0.108702,-21.501264,9.35
HIP 538,0.108833,5.825395,10.95
HIP 539,0.109432,43.782223,8.87
HIP 540,0.109872,28.553404,6.68
HIP 541,0.109901,-47.584729,9.69
HIP 542,0.109968,56.51448,8.05
HIP 543,0.110056,-25.295685,10.3
HIP 544,0.110209,29.021502,6.07
HIP 545,0.110694,33.654249,8.51
HIP 546,0.110792,-36.08477,7.71
HIP 547,0.111,-24.62084,8.56
HIP 548,0.111131,70.169254,8.26
HIP 549,0.111381,65.587694,11.55
HIP 550,0.111621,56.324658,8.62
HIP 551,0.112169,8.657202,10.92
HIP 552,0.112581,-6.261311,10.51
HIP 553,0.112641,-21.092538,9.83
HIP 554,0.112857,-13.748886,9.84
HIP 555,0.112946,10.069051,9.74
HIP 556,0.113048,-4.350026,8.21
HIP 557,0.113056,23.493822,8.72
HIP 558,0.113118,-70.589435,8.03
HIP 559,0.113321,44.612832,9.0
HIP 560,0.113911,-23.10754,6.19
HIP 561,0.113974,68.167123,11.79
HIP 562,0.114065,20.559759,8.22
HIP 563,0.114086,31.130423,7.93
HIP 564,0.114256,-45.863876,10.18
HIP 565,0.114543,1.861029,8.98
HIP 566,0.114545,49.382114,9.13
HIP 567,0.114803,-38.877668,6.91
HIP 568,0.114827,-55.160828,8.79
HIP 569,0.114967,-3.626263,8.23
