Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
NGC6273;GCl;17:02:37.68;-26:16:04.6;Oph;7.50;;;8.45;5.57;;;;;;0.0935;-3.230;1.660;146;0.000486;;;;019;;;;MWSC 2519;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6333;GCl;17:19:11.78;-18:30:58.5;Oph;6.90;;;9.36;8.42;;;;;;0.1117;-2.210;-3.210;311;0.001037;;;;009;;;;MWSC 2567;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6341;GCl;17:17:07.27;+43:08:11.5;Her;14.40;;;;6.52;;;;;;0.0562;;;-120;-0.000402;;;;092;;;;MWSC 2557;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|Pax:2|RadVel:2|Redshift:2
NGC6402;GCl;17:37:36.16;-03:14:45.3;Oph;9.9;;;9.55;5.73;;;;;;0.0589;-3.660;-5.030;-61;-0.000202;;;;014;;;;MWSC 2643;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6405;OCl;17:40:20.75;-32:15:15.0;Sco;15.60;;;4.48;4.20;;;;;;2.1626;-1.366;-5.806;-9;-0.000032;;;;006;;;;MWSC 2661;Butterfly Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6475;OCl;17:53:51.18;-34:47:34.2;Sco;22.20;;;3.45;3.30;;;;;;3.5704;3.072;-5.316;-15;-0.000049;;;;007;;;;MWSC 2739;Ptolemy's Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6494;OCl;17:57:04.77;-18:59:07.2;Sgr;16.80;;;6.03;5.50;;;;;;1.3540;0.284;-1.809;-32;-0.000106;;;;023;;;;MWSC 2757;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6514;Neb;18:02:42.11;-22:58:18.8;Sgr;28.00;28.00;;6.30;8.50;;;;;;0.7900;0.410;-1.690;-5;-0.000017;;;;020;;;;LBN 27,MWSC 2789;Trifid Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9|B-Mag:3|V-Mag:10|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6523;Neb;18:03:41.27;-24:22:48.6;Sgr;45.00;30.00;;5.00;5.80;;;;;;;;;4;0.000013;;;;008;6533;;;LBN 25;Lagoon Nebula;Nominal position for NGC 6533 is -30 arcmin in error.;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9|B-Mag:3|V-Mag:10|RadVel:2|Redshift:2
NGC6531;OCl;18:04:13.45;-22:29:24.2;Sgr;6.00;;;;5.90;;;;;;0.7980;0.525;-1.521;-18;-0.000061;;;;021;;;;MWSC 2796;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
